Depth (ft),Weight on bit (k-lbs),Temperature Out (deg F),Temperature In(deg F),Pit Total (bbls),Pump Pressure (psi),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),Flow Out Percentage (%),ROP (ft/hr)
85.18,0.0,93.49,90.87,274.83,463.72,31.77,8.93,151.09,1109.58,101.61,56.8
86.18,0.0,93.52,90.83,274.83,459.53,31.01,8.93,151.09,1108.36,101.7,61.14
87.23,0.0,94.25,90.91,273.8,454.57,31.01,9.01,61.54,1102.87,96.81,18.58
88.26,0.0,94.44,91.14,273.79,451.14,31.16,8.97,60.23,1101.04,96.67,38.29
89.36,0.0,94.48,91.18,273.8,456.09,31.54,8.97,61.75,1102.46,96.63,394.38
90.39,0.0,94.52,91.18,273.79,452.28,30.24,8.97,61.99,1101.85,96.58,413.16
91.39,0.76,94.52,91.21,273.8,454.19,29.33,8.97,62.07,1102.06,96.72,450.72
92.39,0.0,94.52,91.21,273.79,452.66,31.01,9.01,61.95,1102.26,96.81,600.96
93.49,0.0,94.55,91.25,273.8,448.85,30.93,8.97,61.42,1099.21,96.44,399.5
94.59,0.0,94.55,91.29,273.79,452.66,30.78,9.01,59.57,1102.87,95.93,563.4
95.65,0.0,94.55,91.29,273.79,452.28,31.08,9.01,59.33,1103.48,95.74,638.52
96.68,0.0,94.55,91.29,273.79,448.47,31.46,8.97,58.67,1100.43,95.53,743.69
97.75,2.13,94.55,91.37,273.79,452.28,27.96,8.97,56.05,1103.28,96.07,348.28
99.5,0.0,90.89,93.24,279.64,19.94,40.61,8.74,0.0,0.0,25.11,100.0
101.35,0.0,90.89,93.27,278.58,139.28,37.95,8.74,0.0,469.14,38.44,147.35
102.51,0.0,90.78,93.16,275.49,383.66,37.56,8.82,53.92,1068.03,81.34,54.86
103.51,0.0,90.78,93.16,275.44,385.18,35.81,8.82,0.0,1068.02,83.65,180.29
104.57,0.0,90.67,93.16,275.42,384.8,36.12,8.78,0.0,1065.78,83.32,106.42
105.67,0.0,86.81,93.04,275.81,386.33,36.19,8.82,61.38,1062.73,80.92,147.35
106.76,0.0,86.93,93.08,275.81,384.8,36.8,8.82,61.42,1066.8,82.6,492.98
107.92,0.0,86.89,93.04,275.99,387.47,36.27,8.82,69.53,1067.21,82.83,694.86
109.11,0.0,86.62,93.08,275.86,387.09,36.95,8.82,75.19,1063.95,80.15,611.7
110.27,0.0,86.47,93.08,275.84,384.42,35.43,8.82,82.32,1066.39,80.15,833.83
111.33,0.0,86.4,93.08,275.61,384.04,35.89,8.82,85.11,1064.77,79.8,766.22
112.37,0.0,86.24,93.08,275.62,389.76,35.51,8.78,88.43,1067.21,78.12,694.86
113.37,0.0,85.94,93.08,275.81,388.23,31.92,8.82,82.28,1067.61,78.64,515.1
114.5,2.82,85.86,93.08,275.81,386.33,27.27,8.82,97.45,1066.39,79.22,368.77
115.53,0.0,85.25,93.08,275.82,387.47,34.36,8.82,99.25,1069.44,80.17,247.9
116.56,0.0,84.91,93.08,275.81,385.56,33.22,8.82,92.49,1069.65,80.17,492.97
117.63,0.61,84.76,93.12,275.81,390.9,29.48,8.82,89.82,1073.92,79.64,348.28
118.69,0.0,84.41,93.08,275.54,387.47,33.14,8.82,83.27,1073.92,81.27,294.7
119.69,0.0,84.22,93.12,275.54,390.14,34.36,8.82,83.1,1074.73,81.13,450.72
120.72,0.0,84.07,93.12,275.54,384.8,34.82,8.82,79.54,1072.9,83.37,619.74
121.73,0.0,91.89,93.31,269.32,356.97,38.4,8.78,34.03,1013.96,99.84,25.75
122.73,0.0,92.42,93.35,267.78,341.34,37.56,8.82,45.18,986.74,98.33,171.71
123.82,0.0,92.88,93.39,266.57,304.74,36.73,8.82,122.0,932.62,93.39,187.8
124.86,0.0,92.99,93.35,265.97,299.78,35.28,8.78,132.42,927.32,92.08,371.84
125.86,0.0,92.95,93.39,265.66,297.88,37.26,8.82,106.34,924.67,93.48,200.32
126.89,0.0,93.18,93.58,263.81,296.35,37.41,8.93,47.27,924.88,88.59,127.71
127.99,0.0,93.11,93.62,263.79,298.64,38.56,8.93,46.17,918.17,85.28,197.19
129.05,0.0,92.99,93.62,263.42,321.13,31.46,8.97,33.17,977.91,87.54,147.35
130.11,0.0,93.14,93.65,262.8,321.89,34.44,8.97,58.92,977.28,84.28,212.84
132.05,0.0,89.25,93.16,279.86,419.49,38.17,8.67,116.76,1068.07,89.73,676.09
133.3,0.0,89.41,93.16,279.87,422.16,38.4,8.63,121.59,1069.08,90.17,751.2
134.33,0.0,89.71,93.16,279.87,420.26,36.8,8.63,127.66,1072.54,90.47,137.72
135.34,0.0,89.79,93.16,279.86,423.31,34.67,8.67,124.26,1071.32,90.89,348.28
136.34,0.0,89.83,93.2,279.87,426.74,30.55,8.67,122.66,1076.2,89.15,492.98
137.34,0.0,89.9,93.16,279.87,423.31,37.11,8.67,124.22,1073.36,89.47,450.71
138.43,0.0,89.98,93.16,279.88,423.31,36.95,8.67,129.09,1073.16,89.85,563.39
139.56,0.0,90.05,93.16,279.87,426.74,32.76,8.67,129.71,1079.86,88.84,676.08
140.56,0.0,90.02,93.16,279.86,426.36,36.27,8.67,125.57,1078.64,89.15,721.15
141.69,0.0,90.02,93.16,279.88,426.74,40.77,8.67,122.21,1079.46,88.47,676.08
142.85,0.0,90.05,93.16,279.86,426.36,42.29,8.67,124.63,1083.73,89.33,833.85
144.13,0.0,90.28,93.16,279.17,430.55,38.86,8.67,130.69,1084.95,90.08,513.32
145.32,0.0,90.28,93.12,278.89,427.5,37.41,8.67,129.83,1085.36,89.87,713.64
146.35,0.0,90.09,93.12,278.58,430.93,39.32,8.7,124.75,1086.98,91.83,619.74
147.42,0.0,89.94,93.12,278.34,429.03,41.38,8.67,120.49,1087.19,91.38,478.89
148.64,0.0,89.75,93.12,278.18,429.41,40.92,8.67,116.88,1086.99,90.73,732.42
149.77,0.0,89.45,93.12,278.04,433.98,38.78,8.67,110.61,1088.82,91.43,507.06
150.95,0.0,89.25,93.12,277.98,428.26,37.64,8.7,110.28,1087.59,91.45,713.64
151.96,0.0,88.99,93.12,277.94,430.17,42.6,8.7,117.49,1087.6,90.85,515.11
153.05,0.0,88.84,93.12,277.94,431.69,40.92,8.67,117.95,1087.19,90.75,788.75
154.12,0.0,88.72,93.12,277.92,426.74,41.76,8.7,111.02,1086.17,91.29,547.3
155.37,0.0,88.68,93.12,277.92,426.36,38.1,8.7,120.49,1084.95,91.73,901.44
156.37,0.0,88.68,93.08,277.9,426.74,32.15,8.7,120.36,1081.7,91.78,721.14
157.62,0.0,88.68,93.08,277.91,427.88,31.24,8.7,121.59,1085.36,92.36,375.6
158.75,0.0,89.29,94.87,257.92,385.94,47.93,8.51,116.59,1007.82,85.18,187.8
159.75,0.0,89.41,94.87,257.89,381.37,48.77,8.51,122.95,1005.99,83.3,360.58
160.81,0.0,89.71,94.87,257.58,383.66,49.84,8.55,107.08,1005.79,84.88,191.56
161.84,0.0,90.05,94.84,257.06,380.23,47.4,8.51,94.33,1003.55,86.16,119.95
162.88,0.0,91.43,94.84,256.74,382.89,41.07,8.55,69.0,1001.11,84.81,97.85
163.91,0.0,92.19,94.87,256.53,375.65,45.49,8.55,101.06,995.21,81.97,82.63
164.91,0.0,92.23,94.87,256.17,379.46,48.7,8.59,108.03,996.43,83.79,124.33
165.94,0.0,93.11,94.91,256.18,376.79,49.15,8.63,124.95,995.01,82.88,103.29
166.95,0.0,94.55,94.95,255.57,376.79,47.1,8.59,128.73,993.99,82.78,138.68
167.98,0.0,95.89,95.03,254.32,375.65,45.72,8.59,126.02,992.77,85.98,80.83
169.01,0.0,96.96,95.14,253.19,376.79,47.4,8.63,110.61,993.18,88.49,61.97
170.01,0.0,97.15,95.18,252.84,378.32,43.28,8.63,116.59,995.62,89.73,119.72
171.05,0.0,97.18,95.22,252.47,379.08,44.2,8.63,123.81,993.99,89.78,109.37
172.05,0.0,97.11,95.26,251.09,376.03,44.96,8.63,113.19,992.16,90.12,106.59
173.05,0.0,97.15,95.33,249.97,376.03,48.01,8.67,116.18,992.97,93.57,63.26
